Instrument,ISIN,Mnemonic
AUDIO PIXELS HOLDINGS LTD,AU000000AKP0,GQ8
AUSTRALIAN LEADERS FD LTD,AU000000ALF9,WLN
ALKANE RESOURCES LTD.,AU000000ALK9,AK7
ARISTOCRAT LEISURE,AU000000ALL7,AC8
ALS LTD,AU000000ALQ6,CP4
ALTIUM LTD.,AU000000ALU8,A5V
ALCHEMY RES LTD,AU000000ALY0,45A
AMA GROUP LTD.,AU000000AMA8,KC7
AMCOR LTD,AU000000AMC4,AXZA
AURELIA METALS,AU000000AMI1,YTR
AGRIMIN LTD,AU000000AMN1,3CL
AMP LTD.,AU000000AMP6,AMP
AMANI GOLD LTD,AU000000ANL3,B7BA
ANSELL LTD.,AU000000ANN9,PD1A
ADVANCED NANO TECHNO.LTD.,AU000000ANO7,BBJ
A.N.Z. BKG GRP,AU000000ANZ3,ANB
ALTONA MINING LTD,AU000000AOH9,A2O
AUSTEX OIL LTD,AU000000AOK3,5A7
APOLLO MINERALS LTD,AU000000AON7,4AP
AFRICA.PETROLEUM CORP.LTD,AU000000AOQ0,3G71
AUROCH MINERALS LTD.,AU000000AOU2,T59
APA GROUP STPLD. SECS.,AU000000APA1,PJZ
AZONTO PETROLEUM,AU000000APY1,R1Y
ASPEN GROUP UTS,AU000000APZ8,AYV1
ALACER GOLD CORP. CDIS 1,AU000000AQG6,TQL1
APHRODITE GOLD LTD,AU000000AQQ5,A2I1
ARROWHEAD RES,AU000000AR17,GIX
AUSTRALASIAN RES LTD,AU000000ARH2,SF2
ARRIUM LTD,AU000000ARI0,ONL
AUSROC METALS LTD,AU000000ARK6,M2H
ARAFURA RESOURCES LTD.,AU000000ARU5,REB
ARTEMIS RESOURCES LTD,AU000000ARV3,ATY
AUSTAL LTD,AU000000ASB3,LX6
AUSDRILL LTD,AU000000ASL2,FWG
ANSON RESOURCES LTD,AU000000ASN8,9MY
AUSNET SERVICES SHS,AU000000AST5,S6N
ASX LTD.,AU000000ASX7,AUX
ASSEMBLEBAY LTD,AU000000ASY5,MGZ
ATC ALLOYS LTD,AU000000ATA3,B5N
ALARA RESOURCES LTD.,AU000000AUQ7,AU5
AUSTRALIAN MINES LTD.,AU000000AUZ8,MJH
AVANCO RESOURCES LTD,AU000000AVB7,5A8
AUSTRALIAN VINTAGE LTD,AU000000AVG6,MGE
AVITA MEDICAL LTD,AU000000AVH4,GCR
AVALON MINERALS LTD,AU000000AVI2,AL9
AUSTRALIAN VANADIUM LTD,AU000000AVL6,JT71
AXIOM MINING CDI 1,AU000000AVQ5,2X8
AVZ MINERALS LTD.,AU000000AVZ6,3A2
ALUMINA LTD,AU000000AWC3,WMC1
AWE LTD.,AU000000AWE9,AWE
ARCHER EXPLORATION LTD,AU000000AXE7,38A
AMAYSIM AUSTRALIA LTD,AU000000AYS5,BRJ
AURIZON HLDGS LTD,AU000000AZJ1,QRL
AZUMAH RESOURCES LTD,AU000000AZM5,A6Z
ANTARES ENERGY LTD.,AU000000AZZ7,AO7
BATTERY MINERALS LTD,AU000000BAT1,0FS
BAUXITE RESOURCES LTD,AU000000BAU9,4B4
BILLABONG INTL LTD.,AU000000BBG6,BB6
BC IRON LTD,AU000000BCI0,BC3
